Cheerios,cereal,5.0,204,1,03/12/2015
Cheerios,cereal,5.0,204,14,03/12/2015
Cheerios,cereal,4.5,45,16,03/12/2015
Cheerios,cereal,5.0,4,23,03/12/2015
Cheerios,cereal,5.0,14,34,03/12/2015
Cheerios,cereal,5.0,16,40,03/12/2015
Cheerios,cereal,5.0,185,44,03/12/2015
Cheerios,cereal,4.5,22,65,03/12/2015
Cheerios,cereal,4.5,30,76,03/12/2015
Cheerios,cereal,4.5,29,80,03/12/2015
Cheerios,cereal,5.0,185,91,03/12/2015
Cheerios,cereal,5.0,10,105,03/12/2015
Cheerios,cereal,4.5,40,134,03/12/2015
Cheerios,cereal,4.5,39,141,03/12/2015
Cheerios,cereal,4.5,25,149,03/12/2015
Cheerios,cereal,4.5,32,151,03/12/2015
Cheerios,cereal,4.5,30,165,03/12/2015
Cheerios,cereal,5.0,17,183,03/12/2015
Cheerios,cereal,5.0,8,185,03/12/2015
Cheerios,cereal,4.5,13,186,03/12/2015
Cheerios,cereal,5.0,14,206,03/12/2015
Cheerios,cereal,5.0,18,214,03/12/2015
Cheerios,cereal,4.5,45,245,03/12/2015
Cheerios,cereal,4.5,40,246,03/12/2015
Cheerios,cereal,5.0,204,253,03/12/2015
Cheerios,cereal,3.5,3,284,03/12/2015
Cheerios,cereal,4.5,38,306,03/12/2015
Cheerios,cereal,5.0,10,403,03/12/2015
Cheerios,cereal,-1.0,-1,439,03/12/2015
Cheerios,cereal,4.5,18,738,03/12/2015
Cheerios,cereal,5.0,2,742,03/12/2015
Cheerios,cold cereal,5.0,204,1,03/12/2015
Cheerios,cold cereal,5.0,185,6,03/12/2015
Cheerios,cold cereal,5.0,204,8,03/12/2015
Cheerios,cold cereal,4.5,22,25,03/12/2015
Cheerios,cold cereal,4.5,45,26,03/12/2015
Cheerios,cold cereal,5.0,185,29,03/12/2015
Cheerios,cold cereal,5.0,14,35,03/12/2015
Cheerios,cold cereal,5.0,16,38,03/12/2015
Cheerios,cold cereal,4.5,29,58,03/12/2015
Cheerios,cold cereal,5.0,10,63,03/12/2015
Cheerios,cold cereal,4.5,30,104,03/12/2015
Cheerios,cold cereal,5.0,4,108,03/12/2015
Cheerios,cold cereal,4.5,39,159,03/12/2015
Cheerios,cold cereal,4.5,40,166,03/12/2015
Cheerios,cold cereal,4.5,25,169,03/12/2015
Cheerios,cold cereal,4.5,30,174,03/12/2015
Cheerios,cold cereal,5.0,8,189,03/12/2015
Cheerios,cold cereal,5.0,17,190,03/12/2015
Cheerios,cold cereal,5.0,14,202,03/12/2015
Cheerios,cold cereal,4.5,32,203,03/12/2015
Cheerios,cold cereal,4.5,13,212,03/12/2015
Cheerios,cold cereal,4.5,40,231,03/12/2015
Cheerios,cold cereal,4.5,45,234,03/12/2015
Cheerios,cold cereal,5.0,204,243,03/12/2015
Cheerios,cold cereal,5.0,18,244,03/12/2015
Cheerios,cold cereal,3.5,3,266,03/12/2015
Cheerios,cold cereal,4.5,38,281,03/12/2015
Cheerios,cold cereal,5.0,10,350,03/12/2015
Cheerios,cold cereal,-1.0,-1,379,03/12/2015
Cheerios,cold cereal,5.0,2,489,03/12/2015
Kashi,cereal,4.0,7,53,03/12/2015
Kashi,cereal,-1.0,-1,98,03/12/2015
Kashi,cereal,4.0,8,114,03/12/2015
Kashi,cereal,5.0,11,115,03/12/2015
Kashi,cereal,-1.0,-1,116,03/12/2015
Kashi,cereal,5.0,17,119,03/12/2015
Kashi,cereal,5.0,16,120,03/12/2015
Kashi,cereal,4.5,13,163,03/12/2015
Kashi,cereal,4.5,12,166,03/12/2015
Kashi,cereal,5.0,16,173,03/12/2015
Kashi,cereal,5.0,20,198,03/12/2015
Kashi,cereal,5.0,1,213,03/12/2015
Kashi,cereal,5.0,1,230,03/12/2015
Kashi,cereal,4.0,17,232,03/12/2015
Kashi,cereal,-1.0,-1,234,03/12/2015
Kashi,cereal,5.0,1,251,03/12/2015
Kashi,cereal,-1.0,-1,378,03/12/2015
Kashi,cereal,-1.0,-1,412,03/12/2015
Kashi,cereal,-1.0,-1,414,03/12/2015
Kashi,cereal,-1.0,-1,416,03/12/2015
Kashi,cereal,-1.0,-1,449,03/12/2015
Kashi,cereal,-1.0,-1,475,03/12/2015
Kashi,cereal,-1.0,-1,497,03/12/2015
Kashi,cereal,-1.0,-1,571,03/12/2015
Kashi,cereal,-1.0,-1,598,03/12/2015
Kashi,cereal,-1.0,-1,702,03/12/2015
Kashi,cereal,4.5,2,772,03/12/2015
Kashi,cereal,-1.0,-1,778,03/12/2015
Kashi,cereal,5.0,2,784,03/12/2015
Kashi,cereal,-1.0,-1,793,03/12/2015
Kashi,cereal,-1.0,-1,798,03/12/2015
Kashi,cereal,-1.0,-1,799,03/12/2015
Kashi,cereal,-1.0,-1,806,03/12/2015
Kashi,cereal,-1.0,-1,855,03/12/2015
Kashi,cereal,4.5,8,862,03/12/2015
Kashi,cereal,4.5,12,880,03/12/2015
Kashi,cold cereal,4.0,7,32,03/12/2015
Kashi,cold cereal,-1.0,-1,57,03/12/2015
Kashi,cold cereal,4.0,8,95,03/12/2015
Kashi,cold cereal,5.0,16,114,03/12/2015
Kashi,cold cereal,5.0,1,115,03/12/2015
Kashi,cold cereal,5.0,16,117,03/12/2015
Kashi,cold cereal,5.0,11,124,03/12/2015
Kashi,cold cereal,4.5,12,125,03/12/2015
Kashi,cold cereal,5.0,1,135,03/12/2015
Kashi,cold cereal,5.0,20,139,03/12/2015
Kashi,cold cereal,4.5,13,182,03/12/2015
Kashi,cold cereal,5.0,1,210,03/12/2015
Kashi,cold cereal,4.0,17,226,03/12/2015
Kashi,cold cereal,-1.0,-1,229,03/12/2015
Kashi,cold cereal,-1.0,-1,333,03/12/2015
Kashi,cold cereal,-1.0,-1,342,03/12/2015
Kashi,cold cereal,-1.0,-1,356,03/12/2015
Kashi,cold cereal,-1.0,-1,362,03/12/2015
Kashi,cold cereal,-1.0,-1,375,03/12/2015
Kashi,cold cereal,-1.0,-1,394,03/12/2015
Kashi,cold cereal,-1.0,-1,396,03/12/2015
Kashi,cold cereal,-1.0,-1,454,03/12/2015
Kashi,cold cereal,-1.0,-1,488,03/12/2015
Kashi,cold cereal,-1.0,-1,511,03/12/2015
Kashi,cold cereal,-1.0,-1,525,03/12/2015
Kashi,cold cereal,-1.0,-1,532,03/12/2015
Kashi,cold cereal,-1.0,-1,542,03/12/2015
Kashi,cold cereal,-1.0,-1,628,03/12/2015
Kellogg's,cereal,4.5,116,2,03/12/2015
Kellogg's,cereal,5.0,46,8,03/12/2015
Kellogg's,cereal,5.0,60,9,03/12/2015
Kellogg's,cereal,5.0,62,12,03/12/2015
Kellogg's,cereal,4.5,51,13,03/12/2015
Kellogg's,cereal,4.5,31,15,03/12/2015
Kellogg's,cereal,4.5,46,21,03/12/2015
Kellogg's,cereal,4.5,44,27,03/12/2015
Kellogg's,cereal,5.0,62,28,03/12/2015
Kellogg's,cereal,5.0,52,29,03/12/2015
Kellogg's,cereal,5.0,45,33,03/12/2015
Kellogg's,cereal,5.0,32,41,03/12/2015
Kellogg's,cereal,5.0,123,43,03/12/2015
Kellogg's,cereal,4.5,19,48,03/12/2015
Kellogg's,cereal,5.0,27,49,03/12/2015
Kellogg's,cereal,5.0,94,51,03/12/2015
Kellogg's,cereal,5.0,66,64,03/12/2015
Kellogg's,cereal,5.0,21,73,03/12/2015
Kellogg's,cereal,4.5,116,75,03/12/2015
Kellogg's,cereal,-1.0,-1,77,03/12/2015
Kellogg's,cereal,4.5,116,79,03/12/2015
Kellogg's,cereal,5.0,31,93,03/12/2015
Kellogg's,cereal,4.0,54,104,03/12/2015
Kellogg's,cereal,5.0,35,108,03/12/2015
Kellogg's,cereal,-1.0,-1,111,03/12/2015
Kellogg's,cereal,4.5,24,117,03/12/2015
Kellogg's,cereal,4.5,49,121,03/12/2015
Kellogg's,cereal,3.0,1,122,03/12/2015
Kellogg's,cereal,5.0,22,126,03/12/2015
Kellogg's,cereal,5.0,23,127,03/12/2015
Kellogg's,cereal,5.0,17,128,03/12/2015
Kellogg's,cereal,5.0,112,129,03/12/2015
Kellogg's,cereal,4.5,85,136,03/12/2015
Kellogg's,cereal,5.0,252,153,03/12/2015
Kellogg's,cereal,4.5,31,155,03/12/2015
Kellogg's,cereal,5.0,16,157,03/12/2015
Kellogg's,cereal,5.0,13,158,03/12/2015
Kellogg's,cereal,4.5,13,161,03/12/2015
Kellogg's,cereal,5.0,50,167,03/12/2015
Kellogg's,cereal,4.5,103,174,03/12/2015
Kellogg's,cereal,4.5,17,184,03/12/2015
Kellogg's,cereal,5.0,91,190,03/12/2015
Kellogg's,cereal,4.5,68,194,03/12/2015
Kellogg's,cereal,4.5,28,201,03/12/2015
Kellogg's,cereal,4.0,10,210,03/12/2015
Kellogg's,cereal,4.5,13,211,03/12/2015
Kellogg's,cereal,4.5,116,220,03/12/2015
Kellogg's,cereal,4.5,17,221,03/12/2015
Kellogg's,cereal,4.5,11,223,03/12/2015
Kellogg's,cereal,4.5,48,226,03/12/2015
Kellogg's,cereal,4.5,14,228,03/12/2015
Kellogg's,cereal,4.5,24,229,03/12/2015
Kellogg's,cereal,4.5,12,233,03/12/2015
Kellogg's,cereal,4.5,16,239,03/12/2015
Kellogg's,cereal,5.0,80,247,03/12/2015
Kellogg's,cereal,4.5,46,252,03/12/2015
Kellogg's,cereal,5.0,3,254,03/12/2015
Kellogg's,cereal,4.5,12,261,03/12/2015
Kellogg's,cereal,4.5,18,262,03/12/2015
Kellogg's,cereal,5.0,86,265,03/12/2015
Kellogg's,cereal,5.0,60,268,03/12/2015
Kellogg's,cereal,4.5,5,274,03/12/2015
Kellogg's,cereal,5.0,4,276,03/12/2015
Kellogg's,cereal,4.5,73,277,03/12/2015
Kellogg's,cereal,5.0,108,282,03/12/2015
Kellogg's,cereal,5.0,14,288,03/12/2015
Kellogg's,cereal,4.5,51,289,03/12/2015
Kellogg's,cereal,5.0,11,290,03/12/2015
Kellogg's,cereal,5.0,7,291,03/12/2015
Kellogg's,cereal,4.5,51,296,03/12/2015
Kellogg's,cereal,4.5,8,297,03/12/2015
Kellogg's,cereal,4.5,116,298,03/12/2015
Kellogg's,cereal,4.5,10,301,03/12/2015
Kellogg's,cereal,4.5,31,308,03/12/2015
Kellogg's,cereal,4.5,46,312,03/12/2015
Kellogg's,cereal,5.0,3,323,03/12/2015
Kellogg's,cereal,4.5,31,330,03/12/2015
Kellogg's,cereal,5.0,1,341,03/12/2015
Kellogg's,cereal,4.5,30,347,03/12/2015
Kellogg's,cereal,4.0,1,358,03/12/2015
Kellogg's,cereal,4.5,9,374,03/12/2015
Kellogg's,cereal,-1.0,-1,382,03/12/2015
Kellogg's,cereal,4.5,3,388,03/12/2015
Kellogg's,cereal,-1.0,-1,393,03/12/2015
Kellogg's,cereal,1.0,1,404,03/12/2015
Kellogg's,cereal,5.0,62,409,03/12/2015
Kellogg's,cereal,5.0,10,415,03/12/2015
Kellogg's,cereal,-1.0,-1,419,03/12/2015
Kellogg's,cereal,-1.0,-1,430,03/12/2015
Kellogg's,cereal,-1.0,-1,431,03/12/2015
Kellogg's,cereal,-1.0,-1,432,03/12/2015
Kellogg's,cereal,-1.0,-1,434,03/12/2015
Kellogg's,cereal,4.0,4,435,03/12/2015
Kellogg's,cereal,-1.0,-1,436,03/12/2015
Kellogg's,cereal,-1.0,-1,437,03/12/2015
Kellogg's,cereal,5.0,1,448,03/12/2015
Kellogg's,cereal,-1.0,-1,450,03/12/2015
Kellogg's,cereal,-1.0,-1,452,03/12/2015
Kellogg's,cereal,-1.0,-1,454,03/12/2015
Kellogg's,cereal,-1.0,-1,462,03/12/2015
Kellogg's,cereal,-1.0,-1,468,03/12/2015
Kellogg's,cereal,5.0,5,484,03/12/2015
Kellogg's,cereal,-1.0,-1,485,03/12/2015
Kellogg's,cereal,-1.0,-1,490,03/12/2015
Kellogg's,cereal,-1.0,-1,491,03/12/2015
Kellogg's,cereal,-1.0,-1,493,03/12/2015
Kellogg's,cereal,-1.0,-1,504,03/12/2015
Kellogg's,cereal,-1.0,-1,506,03/12/2015
Kellogg's,cereal,-1.0,-1,507,03/12/2015
Kellogg's,cereal,-1.0,-1,513,03/12/2015
Kellogg's,cereal,-1.0,-1,522,03/12/2015
Kellogg's,cereal,-1.0,-1,543,03/12/2015
Kellogg's,cereal,-1.0,-1,550,03/12/2015
Kellogg's,cereal,-1.0,-1,553,03/12/2015
Kellogg's,cereal,2.0,1,569,03/12/2015
Kellogg's,cereal,-1.0,-1,592,03/12/2015
Kellogg's,cereal,4.0,340,624,03/12/2015
Kellogg's,cereal,2.0,1,782,03/12/2015
Kellogg's,cereal,-1.0,-1,789,03/12/2015
Kellogg's,cereal,4.5,13,856,03/12/2015
Kellogg's,cereal,3.0,1,857,03/12/2015
Kellogg's,cereal,5.0,33,859,03/12/2015
Kellogg's,cereal,4.5,31,883,03/12/2015
Kellogg's,cereal,-1.0,-1,892,03/12/2015
Kellogg's,cereal,4.5,107,914,03/12/2015
Kellogg's,cereal,4.5,24,931,03/12/2015
Kellogg's,cereal,5.0,45,960,03/12/2015
Kellogg's,cereal,4.5,67,972,03/12/2015
Kellogg's,cereal,-1.0,-1,990,03/12/2015
Kellogg's,cold cereal,4.5,51,3,03/12/2015
Kellogg's,cold cereal,5.0,62,4,03/12/2015
Kellogg's,cold cereal,5.0,60,7,03/12/2015
Kellogg's,cold cereal,5.0,123,11,03/12/2015
Kellogg's,cold cereal,5.0,45,18,03/12/2015
Kellogg's,cold cereal,4.5,46,21,03/12/2015
Kellogg's,cold cereal,5.0,52,28,03/12/2015
Kellogg's,cold cereal,4.5,116,34,03/12/2015
Kellogg's,cold cereal,4.5,116,37,03/12/2015
Kellogg's,cold cereal,5.0,23,44,03/12/2015
Kellogg's,cold cereal,5.0,94,48,03/12/2015
Kellogg's,cold cereal,4.5,116,56,03/12/2015
Kellogg's,cold cereal,5.0,62,61,03/12/2015
Kellogg's,cold cereal,5.0,22,69,03/12/2015
Kellogg's,cold cereal,5.0,32,75,03/12/2015
Kellogg's,cold cereal,4.5,31,76,03/12/2015
Kellogg's,cold cereal,5.0,112,85,03/12/2015
Kellogg's,cold cereal,5.0,27,90,03/12/2015
Kellogg's,cold cereal,5.0,50,91,03/12/2015
Kellogg's,cold cereal,5.0,252,92,03/12/2015
Kellogg's,cold cereal,5.0,21,94,03/12/2015
Kellogg's,cold cereal,5.0,13,98,03/12/2015
Kellogg's,cold cereal,4.5,13,105,03/12/2015
Kellogg's,cold cereal,5.0,46,110,03/12/2015
Kellogg's,cold cereal,5.0,35,111,03/12/2015
Kellogg's,cold cereal,4.0,54,113,03/12/2015
Kellogg's,cold cereal,4.5,85,120,03/12/2015
Kellogg's,cold cereal,4.5,44,128,03/12/2015
Kellogg's,cold cereal,4.5,103,129,03/12/2015
Kellogg's,cold cereal,3.0,1,130,03/12/2015
Kellogg's,cold cereal,5.0,91,133,03/12/2015
Kellogg's,cold cereal,4.5,24,143,03/12/2015
Kellogg's,cold cereal,4.5,49,144,03/12/2015
Kellogg's,cold cereal,4.5,28,145,03/12/2015
Kellogg's,cold cereal,5.0,17,150,03/12/2015
Kellogg's,cold cereal,4.5,31,152,03/12/2015
Kellogg's,cold cereal,4.5,19,156,03/12/2015
Kellogg's,cold cereal,4.5,13,158,03/12/2015
Kellogg's,cold cereal,4.5,17,170,03/12/2015
Kellogg's,cold cereal,5.0,16,175,03/12/2015
Kellogg's,cold cereal,4.0,1,176,03/12/2015
Kellogg's,cold cereal,-1.0,-1,185,03/12/2015
Kellogg's,cold cereal,4.5,116,186,03/12/2015
Kellogg's,cold cereal,4.0,10,192,03/12/2015
Kellogg's,cold cereal,4.5,17,209,03/12/2015
Kellogg's,cold cereal,4.5,11,214,03/12/2015
Kellogg's,cold cereal,4.5,116,220,03/12/2015
Kellogg's,cold cereal,4.5,24,223,03/12/2015
Kellogg's,cold cereal,4.5,12,228,03/12/2015
Kellogg's,cold cereal,5.0,80,233,03/12/2015
Kellogg's,cold cereal,4.5,16,237,03/12/2015
Kellogg's,cold cereal,4.5,12,245,03/12/2015
Kellogg's,cold cereal,4.5,18,246,03/12/2015
Kellogg's,cold cereal,5.0,7,248,03/12/2015
Kellogg's,cold cereal,5.0,86,249,03/12/2015
Kellogg's,cold cereal,4.5,5,254,03/12/2015
Kellogg's,cold cereal,5.0,108,255,03/12/2015
Kellogg's,cold cereal,5.0,4,256,03/12/2015
Kellogg's,cold cereal,4.5,73,258,03/12/2015
Kellogg's,cold cereal,5.0,11,262,03/12/2015
Kellogg's,cold cereal,4.5,14,263,03/12/2015
Kellogg's,cold cereal,5.0,14,268,03/12/2015
Kellogg's,cold cereal,4.5,10,271,03/12/2015
Kellogg's,cold cereal,4.5,3,274,03/12/2015
Kellogg's,cold cereal,4.5,8,278,03/12/2015
Kellogg's,cold cereal,-1.0,-1,279,03/12/2015
Kellogg's,cold cereal,-1.0,-1,287,03/12/2015
Kellogg's,cold cereal,-1.0,-1,290,03/12/2015
Kellogg's,cold cereal,-1.0,-1,295,03/12/2015
Kellogg's,cold cereal,4.5,31,296,03/12/2015
Kellogg's,cold cereal,-1.0,-1,297,03/12/2015
Kellogg's,cold cereal,-1.0,-1,298,03/12/2015
Kellogg's,cold cereal,5.0,1,304,03/12/2015
Kellogg's,cold cereal,-1.0,-1,307,03/12/2015
Kellogg's,cold cereal,4.5,51,311,03/12/2015
Kellogg's,cold cereal,4.5,51,320,03/12/2015
Kellogg's,cold cereal,4.5,9,324,03/12/2015
Kellogg's,cold cereal,-1.0,-1,332,03/12/2015
Kellogg's,cold cereal,5.0,1,334,03/12/2015
Kellogg's,cold cereal,4.5,31,337,03/12/2015
Kellogg's,cold cereal,-1.0,-1,338,03/12/2015
Kellogg's,cold cereal,-1.0,-1,347,03/12/2015
Kellogg's,cold cereal,1.0,1,348,03/12/2015
Kellogg's,cold cereal,4.0,4,349,03/12/2015
Kellogg's,cold cereal,-1.0,-1,361,03/12/2015
Kellogg's,cold cereal,-1.0,-1,364,03/12/2015
Kellogg's,cold cereal,-1.0,-1,367,03/12/2015
Kellogg's,cold cereal,-1.0,-1,372,03/12/2015
Kellogg's,cold cereal,-1.0,-1,373,03/12/2015
Kellogg's,cold cereal,-1.0,-1,376,03/12/2015
Kellogg's,cold cereal,-1.0,-1,382,03/12/2015
Kellogg's,cold cereal,-1.0,-1,384,03/12/2015
Kellogg's,cold cereal,-1.0,-1,386,03/12/2015
Kellogg's,cold cereal,5.0,62,388,03/12/2015
Kellogg's,cold cereal,-1.0,-1,390,03/12/2015
Kellogg's,cold cereal,5.0,5,401,03/12/2015
Kellogg's,cold cereal,-1.0,-1,403,03/12/2015
Kellogg's,cold cereal,2.0,1,442,03/12/2015
Kellogg's,cold cereal,-1.0,-1,493,03/12/2015
Kellogg's,cold cereal,2.0,1,523,03/12/2015
Kellogg's,cold cereal,4.5,31,533,03/12/2015
Kellogg's,cold cereal,5.0,78,632,03/12/2015
Post,cereal,5.0,47,4,03/12/2015
Post,cereal,4.5,22,31,03/12/2015
Post,cereal,5.0,11,37,03/12/2015
Post,cereal,5.0,47,38,03/12/2015
Post,cereal,5.0,21,45,03/12/2015
Post,cereal,5.0,14,70,03/12/2015
Post,cereal,4.5,20,71,03/12/2015
Post,cereal,5.0,36,83,03/12/2015
Post,cereal,5.0,18,100,03/12/2015
Post,cereal,5.0,6,132,03/12/2015
Post,cereal,4.5,14,139,03/12/2015
Post,cereal,5.0,10,142,03/12/2015
Post,cereal,4.0,7,171,03/12/2015
Post,cereal,-1.0,-1,187,03/12/2015
Post,cereal,5.0,3,188,03/12/2015
Post,cereal,5.0,15,199,03/12/2015
Post,cereal,5.0,16,208,03/12/2015
Post,cereal,5.0,8,218,03/12/2015
Post,cereal,5.0,9,222,03/12/2015
Post,cereal,5.0,7,224,03/12/2015
Post,cereal,5.0,10,240,03/12/2015
Post,cereal,4.5,4,259,03/12/2015
Post,cereal,4.5,11,280,03/12/2015
Post,cereal,4.5,7,314,03/12/2015
Post,cereal,5.0,7,359,03/12/2015
Post,cereal,5.0,2,380,03/12/2015
Post,cereal,5.0,7,420,03/12/2015
Post,cereal,-1.0,-1,461,03/12/2015
Post,cereal,3.5,3,463,03/12/2015
Post,cereal,-1.0,-1,767,03/12/2015
Post,cold cereal,5.0,21,23,03/12/2015
Post,cold cereal,5.0,36,24,03/12/2015
Post,cold cereal,5.0,47,40,03/12/2015
Post,cold cereal,5.0,11,59,03/12/2015
Post,cold cereal,4.5,14,80,03/12/2015
Post,cold cereal,4.5,22,82,03/12/2015
Post,cold cereal,5.0,47,88,03/12/2015
Post,cold cereal,5.0,18,118,03/12/2015
Post,cold cereal,5.0,10,167,03/12/2015
Post,cold cereal,4.0,7,183,03/12/2015
Post,cold cereal,5.0,3,193,03/12/2015
Post,cold cereal,5.0,15,199,03/12/2015
Post,cold cereal,5.0,16,204,03/12/2015
Post,cold cereal,5.0,9,213,03/12/2015
Post,cold cereal,5.0,8,219,03/12/2015
Post,cold cereal,5.0,7,221,03/12/2015
Post,cold cereal,5.0,10,239,03/12/2015
Post,cold cereal,4.5,11,260,03/12/2015
Post,cold cereal,4.5,7,280,03/12/2015
Post,cold cereal,5.0,7,300,03/12/2015
Post,cold cereal,5.0,7,318,03/12/2015
Post,cold cereal,5.0,2,339,03/12/2015
Post,cold cereal,-1.0,-1,351,03/12/2015
Post,cold cereal,3.5,3,352,03/12/2015
Post,cold cereal,-1.0,-1,490,03/12/2015
